,forecast
2025-07-31,255.5889279898894
2025-08-01,255.25883790377196
2025-08-04,255.481694494957
2025-08-05,255.33123538599443
2025-08-06,255.4328161530224
2025-08-07,255.3642350461613
2025-08-08,255.41053680540082
2025-08-11,255.37927669592176
2025-08-12,255.40038160555574
2025-08-13,255.3861328643299
2025-08-14,255.39575274093878
2025-08-15,255.3892579899637
2025-08-18,255.39364284768521
2025-08-19,255.39068246054927
2025-08-20,255.3926811324678
2025-08-21,255.39133175170966
2025-08-22,255.3922427708787
2025-08-25,255.39162770658245
2025-08-26,255.39204296029104
2025-08-27,255.3917626064426
2025-08-28,255.391951884175
2025-08-29,255.39182409545307
2025-09-01,255.39191037056452
2025-09-02,255.39185212289806
2025-09-03,255.3918914481518
2025-09-04,255.39186489815117
2025-09-05,255.39188282308405
2025-09-08,255.3918707212682
2025-09-09,255.3918788916724
2025-09-10,255.39187337551635
