,forecast
2025-07-31,2874.6353
2025-08-01,2368.5356
2025-08-04,2301.6497
2025-08-05,2277.7886
2025-08-06,2242.8037
2025-08-07,2170.439
2025-08-08,2080.6316
2025-08-11,1984.0312
2025-08-12,1890.7246
2025-08-13,1804.6229
2025-08-14,1719.3439
2025-08-15,1627.2266
2025-08-18,1530.0878
2025-08-19,1433.2812
2025-08-20,1341.4535
2025-08-21,1260.2654
2025-08-22,1196.4644
2025-08-25,1144.4072
2025-08-26,1087.7485
2025-08-27,1025.3792
2025-08-28,964.56384
2025-08-29,909.43054
2025-09-01,860.78674
2025-09-02,818.1482
2025-09-03,780.7669
2025-09-04,747.93085
2025-09-05,719.0081
2025-09-08,693.435
2025-09-09,670.7082
2025-09-10,650.3846
