Date,forecast
2024-01-02,326.10397
2024-01-03,325.1948
2024-01-04,324.29742
2024-01-05,323.36887
2024-01-08,322.41034
2024-01-09,321.42847
2024-01-10,320.43143
2024-01-11,319.42694
2024-01-12,318.42203
2024-01-16,317.42224
2024-01-17,316.4319
2024-01-18,315.4541
2024-01-19,314.49118
2024-01-22,313.54453
2024-01-23,312.61487
2024-01-24,311.7025
2024-01-25,310.80765
2024-01-26,309.92996
2024-01-29,309.06915
2024-01-30,308.22482
2024-01-31,307.3966
2024-02-01,306.5839
2024-02-02,305.78644
2024-02-05,305.00366
2024-02-06,304.23523
2024-02-07,303.48065
2024-02-08,302.73972
2024-02-09,302.0119
2024-02-12,301.29697
2024-02-13,300.5946
2024-02-14,299.90448
2024-02-15,299.22638
2024-02-16,298.55997
2024-02-20,297.905
2024-02-21,297.26114
2024-02-22,296.62817
2024-02-23,296.00595
2024-02-26,295.39404
2024-02-27,294.79245
2024-02-28,294.20078
2024-02-29,293.6189
2024-03-01,293.0465
2024-03-04,292.48352
2024-03-05,291.92972
2024-03-06,291.38483
2024-03-07,290.84872
2024-03-08,290.32123
2024-03-11,289.80206
2024-03-12,289.29117
2024-03-13,288.78836
2024-03-14,288.29346
2024-03-15,287.80627
2024-03-18,287.32672
2024-03-19,286.85458
2024-03-20,286.38977
2024-03-21,285.932
2024-03-22,285.48132
2024-03-25,285.03754
2024-03-26,284.6005
2024-03-27,284.16995
2024-03-28,283.74597
2024-04-01,283.32834
2024-04-02,282.9169
2024-04-03,282.5116
2024-04-04,282.11237
2024-04-05,281.719
2024-04-08,281.3314
2024-04-09,280.94943
2024-04-10,280.57312
2024-04-11,280.20224
2024-04-12,279.83673
2024-04-15,279.47653
2024-04-16,279.12146
2024-04-17,278.7715
2024-04-18,278.42654
2024-04-19,278.0865
2024-04-22,277.75125
2024-04-23,277.42078
2024-04-24,277.095
2024-04-25,276.77365
2024-04-26,276.4569
2024-04-29,276.1446
2024-04-30,275.83664
2024-05-01,275.53293
2024-05-02,275.23337
2024-05-03,274.93805
2024-05-06,274.6467
2024-05-07,274.35934
2024-05-08,274.07593
2024-05-09,273.7964
2024-05-10,273.5206
2024-05-13,273.24863
2024-05-14,272.98026
2024-05-15,272.71555
2024-05-16,272.45435
2024-05-17,272.19672
2024-05-20,271.9424
2024-05-21,271.69162
2024-05-22,271.44412
2024-05-23,271.19986
2024-05-24,270.9589
2024-05-28,270.72104
2024-05-29,270.48636
2024-05-30,270.25473
2024-05-31,270.02615
2024-06-03,269.80057
2024-06-04,269.57785
2024-06-05,269.35812
2024-06-06,269.1412
2024-06-07,268.92712
2024-06-10,268.7157
2024-06-11,268.50708
2024-06-12,268.30112
2024-06-13,268.09778
2024-06-14,267.8971
2024-06-17,267.69888
2024-06-18,267.50327
2024-06-20,267.31012
2024-06-21,267.11945
2024-06-24,266.93112
2024-06-25,266.74524
2024-06-26,266.56168
2024-06-27,266.3804
2024-06-28,266.20148
2024-07-01,266.02475
2024-07-02,265.8502
2024-07-03,265.67783
2024-07-05,265.50766
2024-07-08,265.33957
2024-07-09,265.17355
2024-07-10,265.00967
2024-07-11,264.84772
2024-07-12,264.6878
